id,surface,file,line,component,element,label,disabled,handler,coverage
"UI049","desktop","src/renderer/src/App.tsx","1531","Composer","button","""Attach images""","{submitting || draftImages.length >= MAX_IMAGE_ATTACHMENTS}","onClick: {() => fileInput.current?.click()}","Source control site; consult the journey register and release verification scope"
"UI050","desktop","src/renderer/src/App.tsx","1542","Composer","textarea","""Message Grokky""","","onChange: {(event) => setDraft(event.target.value)}; onPaste: {handlePaste}; onKeyDown: {(event) => { if (event.key === ""Enter"" && !event.shiftKey && !event.nativeEvent.isComposing) { event.preventDefault(); void submit(conversation.status ","Source control site; consult the journey register and release verification scope"
"UI051","desktop","src/renderer/src/App.tsx","1563","Composer","button","""Redirect now (Command + Enter)""","{!canSend}","onClick: {() => void submit(""priority"")}","Source control site; consult the journey register and release verification scope"
"UI052","desktop","src/renderer/src/App.tsx","1564","Composer","button","""Queue after the current turn""","{!canSend}","onClick: {() => void submit(""normal"")}","Source control site; consult the journey register and release verification scope"
"UI053","desktop","src/renderer/src/App.tsx","1567","Composer","button","""Send message""","{!canSend}","onClick: {() => void submit()}","Source control site; consult the journey register and release verification scope"
"UI054","desktop","src/renderer/src/App.tsx","1593","Switch","input","{label}","{disabled}","onChange: {(event) => onChange(event.target.checked)}","Source control site; consult the journey register and release verification scope"
"UI055","desktop","src/renderer/src/App.tsx","1605","SignalPalette","button","{`${palette.label}: ${palette.detail}`}","","onClick: {() => onChange(palette.id)}","Source control site; consult the journey register and release verification scope"
"UI056","desktop","src/renderer/src/App.tsx","1858","SettingsDialog","div","{discard && <ConfirmDialog title=""Discard unsaved changes?"" detail=""Your saved settings stay as they are. The edits in this panel will be lost."" confirmLabel=""Discard changes"" onCancel={() => setDiscard(null)} onConfirm={() => { const actio","","onMouseDown: {(event) => { if (event.currentTarget === event.target) requestClose(); }}","Source control site; consult the journey register and release verification scope"
"UI057","desktop","src/renderer/src/App.tsx","1874","SettingsDialog","button","","","onClick: {() => setTab(item.id)}","Source control site; consult the journey register and release verification scope"
"UI058","desktop","src/renderer/src/App.tsx","1890","SettingsDialog","button","""Close settings""","","onClick: {requestClose}","Source control site; consult the journey register and release verification scope"
"UI059","desktop","src/renderer/src/App.tsx","1892","SettingsDialog","button","""Dismiss settings feedback""","","onClick: {() => { setLocalError(""""); setFeedback(""""); }}","Source control site; consult the journey register and release verification scope"
"UI060","desktop","src/renderer/src/App.tsx","1899","SettingsDialog","input","""Product launch operator""","{conversation.status === ""running""}","onChange: {(event) => setSessionTitle(event.target.value)}","Source control site; consult the journey register and release verification scope"
"UI061","desktop","src/renderer/src/App.tsx","1900","SettingsDialog","textarea","""What this session owns, how it should work, and what it should never touch.""","{conversation.status === ""running""}","onChange: {(event) => setSessionInstructions(event.target.value)}","Source control site; consult the journey register and release verification scope"
